Body Shape,Clothing Category,Clothing Type,Occasion
Rectangle,Outerwear,Structured blazer,Casual
Hourglass,Tops,Corset-style top,Casual
Rectangle,Dresses,Wrap dress,Workwear
Rectangle,Outerwear,Denim trench coat,Streetwear
Inverted Triangle,Dresses,Tea-length dress,Casual
Apple,Tops,V-neck blouse,Formal
Pear,Indian Ethnic Wear,Saree with heavy pallu,Streetwear
Pear,Dresses,Layered dress,Party
Apple,Dresses,Maxi dress,Casual
Hourglass,Tops,Fitted blouse,Party
Inverted Triangle,Tops,Tie-front blouse,Party
Pear,Dresses,A-line dress,Streetwear
Rectangle,Outerwear,Denim trench coat,Workwear
Inverted Triangle,Bottoms,Flared pants,Formal
Pear,Indian Ethnic Wear,Churidaar suit,Party
Apple,Tops,Wrap top,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Streetwear
Pear,Bottoms,Flared skirt,Streetwear
Pear,Outerwear,Denim jacket,Streetwear
Hourglass,Dresses,Mermaid gown,Formal
Apple,Bottoms,High-waisted pants,Streetwear
Hourglass,Tops,Bodysuit,Workwear
Hourglass,Tops,Sweetheart neckline top,Streetwear
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Party
Rectangle,Tops,Belted shirt,Streetwear
Rectangle,Tops,Cold-shoulder top,Workwear
Apple,Outerwear,Longline blazer,Workwear
Inverted Triangle,Outerwear,Waterfall coat,Streetwear
Hourglass,Bottoms,Wide belt trousers,Streetwear
Rectangle,Dresses,Ruched bodycon dress,Workwear
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Casual
Rectangle,Dresses,Peplum dress,Party
Rectangle,Dresses,Ruched bodycon dress,Casual
Pear,Dresses,Empire waist dress,Workwear
Apple,Indian Ethnic Wear,Saree with light fabric,Formal
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Workwear
Hourglass,Tops,Wrap top,Streetwear
Hourglass,Outerwear,Belted coat,Formal
Inverted Triangle,Bottoms,Wide-leg trousers,Workwear
Apple,Tops,V-neck blouse,Workwear
Pear,Indian Ethnic Wear,Saree with heavy pallu,Casual
Rectangle,Dresses,Wrap dress,Workwear
Inverted Triangle,Dresses,Tunic dress,Workwear
Rectangle,Outerwear,Bomber jacket,Casual
Pear,Dresses,A-line dress,Streetwear
Hourglass,Bottoms,Pencil skirt,Party
Rectangle,Outerwear,Double-breasted coat,Formal
Rectangle,Tops,Asymmetrical top,Streetwear
Rectangle,Dresses,Layered maxi dress,Party
Rectangle,Indian Ethnic Wear,Peplum-style kurta set,Workwear
Apple,Indian Ethnic Wear,Floor-length Anarkali,Party
Hourglass,Tops,Sweetheart neckline top,Streetwear
Apple,Indian Ethnic Wear,A-line kurta,Formal
Inverted Triangle,Outerwear,Cape coat,Party
Rectangle,Outerwear,Leather jacket,Formal
Pear,Indian Ethnic Wear,Churidaar suit,Workwear
Rectangle,Indian Ethnic Wear,Saree with belts,Workwear
Inverted Triangle,Tops,Ruched sleeve top,Formal
Hourglass,Dresses,Bodycon dress,Streetwear
Inverted Triangle,Dresses,Tunic dress,Casual
Pear,Outerwear,Cropped jacket,Formal
Rectangle,Tops,Peplum top,Party
Rectangle,Outerwear,Denim trench coat,Party
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Casual
Apple,Tops,Wrap top,Streetwear
Inverted Triangle,Tops,Ruched sleeve top,Party
Apple,Bottoms,Dark-wash jeans,Casual
Rectangle,Tops,Cold-shoulder top,Party
Hourglass,Outerwear,Leather trench,Casual
Hourglass,Dresses,Wrap dress,Casual
Apple,Tops,Cowl neck top,Formal
Inverted Triangle,Indian Ethnic Wear,Dhoti-style saree,Party
Rectangle,Tops,Smocked blouse,Party
Pear,Dresses,Ruched dress,Streetwear
Hourglass,Bottoms,Pencil skirt,Formal
Hourglass,Outerwear,Belted coat,Formal
Inverted Triangle,Dresses,Fit-and-flare dress,Formal
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Casual
Pear,Tops,Square-neck top,Streetwear
Pear,Tops,Puffed sleeve top,Party
Pear,Outerwear,Embellished blazer,Party
Pear,Outerwear,Trench coat,Streetwear
Apple,Dresses,Belted dress,Formal
Apple,Bottoms,Flared trousers,Formal
Pear,Outerwear,Cropped jacket,Formal
Rectangle,Bottoms,Culottes,Casual
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Formal
Apple,Bottoms,Bootcut jeans,Formal
Rectangle,Outerwear,Leather jacket,Casual
Apple,Bottoms,Straight-leg trousers,Workwear
Pear,Indian Ethnic Wear,Lehenga with fitted top,Casual
Rectangle,Tops,Smocked blouse,Formal
Hourglass,Tops,Corset-style top,Workwear
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Casual
Pear,Outerwear,Embellished blazer,Party
Apple,Indian Ethnic Wear,Floor-length Anarkali,Streetwear
Rectangle,Outerwear,Denim trench coat,Party
Apple,Tops,Flowy tunic,Streetwear
Pear,Tops,Structured blazer,Formal
Apple,Bottoms,Dark-wash jeans,Party
Rectangle,Indian Ethnic Wear,Peplum-style kurta set,Workwear
Hourglass,Tops,Bodysuit,Party
Rectangle,Bottoms,Cargo pants,Workwear
Rectangle,Dresses,Sheath dress,Party
Pear,Outerwear,Denim jacket,Streetwear
Pear,Outerwear,Trench coat,Party
Rectangle,Outerwear,Double-breasted coat,Formal
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Party
Pear,Outerwear,Cape-style coat,Workwear
Apple,Indian Ethnic Wear,Saree with light fabric,Workwear
Pear,Indian Ethnic Wear,Churidaar suit,Workwear
Hourglass,Bottoms,Wide belt trousers,Streetwear
Pear,Bottoms,Wide-leg pants,Party
Inverted Triangle,Outerwear,Duster coat,Formal
Inverted Triangle,Outerwear,Duster coat,Streetwear
Hourglass,Dresses,Fit-and-flare dress,Formal
Inverted Triangle,Tops,V-neck top,Formal
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Formal
Pear,Bottoms,Bootcut jeans,Casual
Inverted Triangle,Bottoms,A-line skirt,Streetwear
Rectangle,Indian Ethnic Wear,Saree with belts,Workwear
Rectangle,Tops,Asymmetrical top,Formal
Pear,Bottoms,Flared skirt,Formal
Apple,Outerwear,Longline blazer,Formal
Apple,Indian Ethnic Wear,Anarkali suit,Streetwear
Hourglass,Dresses,Slit maxi dress,Workwear
Rectangle,Tops,Belted shirt,Workwear
Apple,Tops,Wrap top,Workwear
Rectangle,Indian Ethnic Wear,Layered Anarkali,Workwear
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Party
Hourglass,Bottoms,Tulip skirt,Streetwear
Apple,Indian Ethnic Wear,Anarkali suit,Workwear
Apple,Outerwear,Belted jacket,Formal
Pear,Dresses,High-low dress,Party
Apple,Tops,Cowl neck top,Streetwear
Apple,Bottoms,High-waisted pants,Formal
Rectangle,Tops,Belted shirt,Formal
Pear,Indian Ethnic Wear,Lehenga with fitted top,Party
Pear,Tops,Square-neck top,Party
Pear,Bottoms,Bootcut jeans,Streetwear
Pear,Bottoms,Bootcut jeans,Party
Pear,Indian Ethnic Wear,Lehenga with fitted top,Casual
Inverted Triangle,Indian Ethnic Wear,Gown-style Anarkali,Casual
Rectangle,Tops,Cold-shoulder top,Formal
Apple,Outerwear,A-line coat,Party
Apple,Tops,Cowl neck top,Streetwear
Hourglass,Bottoms,Pencil skirt,Workwear
Hourglass,Tops,Sweetheart neckline top,Formal
Inverted Triangle,Bottoms,Wide-leg trousers,Streetwear
Rectangle,Outerwear,Double-breasted coat,Formal
Pear,Dresses,Ruched dress,Formal
Rectangle,Outerwear,Cropped cardigan,Party
Apple,Tops,Flowy tunic,Workwear
Inverted Triangle,Tops,Kimono sleeve top,Casual
Hourglass,Bottoms,Tulip skirt,Casual
Apple,Bottoms,A-line skirt,Party
Pear,Outerwear,Denim jacket,Casual
Apple,Bottoms,A-line skirt,Party
Rectangle,Dresses,Ruched bodycon dress,Streetwear
Apple,Dresses,Maxi dress,Casual
Rectangle,Outerwear,Double-breasted coat,Casual
Rectangle,Bottoms,Pleated skirt,Formal
Hourglass,Tops,Tie-front shirt,Workwear
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Party
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Party
Inverted Triangle,Tops,Dolman sleeve blouse,Formal
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Formal
Apple,Bottoms,High-waisted pants,Formal
Apple,Dresses,Maxi dress,Party
Pear,Tops,Puffed sleeve top,Casual
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Streetwear
Hourglass,Tops,Corset-style top,Party
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Workwear
Hourglass,Tops,Sweetheart neckline top,Casual
Apple,Indian Ethnic Wear,Anarkali suit,Streetwear
Rectangle,Indian Ethnic Wear,Saree with belts,Workwear
Rectangle,Tops,Belted shirt,Formal
Inverted Triangle,Dresses,Empire waist dress,Party
Inverted Triangle,Bottoms,Wide-leg trousers,Party
Rectangle,Indian Ethnic Wear,Sharara suit,Party
Hourglass,Outerwear,Leather trench,Casual
Inverted Triangle,Outerwear,Waterfall coat,Formal
Apple,Dresses,Wrap dress,Streetwear
Apple,Bottoms,Bootcut jeans,Workwear
Apple,Outerwear,Longline blazer,Workwear
Hourglass,Tops,Fitted blouse,Casual
Apple,Tops,Empire waist top,Workwear
Rectangle,Indian Ethnic Wear,Saree with belts,Party
Pear,Dresses,Fit-and-flare dress,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Workwear
Pear,Dresses,Empire waist dress,Workwear
Rectangle,Dresses,Tulle dress,Workwear
Pear,Indian Ethnic Wear,Straight-cut kurta,Party
Apple,Outerwear,Waterfall cardigan,Party
Pear,Dresses,Empire waist dress,Workwear
Hourglass,Dresses,Fit-and-flare dress,Party
Hourglass,Dresses,Bodycon dress,Streetwear
Inverted Triangle,Tops,Wrap top,Streetwear
Inverted Triangle,Outerwear,Straight-cut coat,Party
Apple,Indian Ethnic Wear,Floor-length Anarkali,Party
Rectangle,Dresses,Tulle dress,Formal
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Party
Rectangle,Outerwear,Denim trench coat,Formal
Hourglass,Tops,Bodysuit,Formal
Pear,Bottoms,Midi skirt,Casual
Hourglass,Outerwear,Fitted blazer,Workwear
Pear,Outerwear,Trench coat,Workwear
Rectangle,Outerwear,Double-breasted coat,Party
Rectangle,Bottoms,Paperbag trousers,Streetwear
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Party
Pear,Bottoms,Midi skirt,Workwear
Apple,Tops,Wrap top,Casual
Apple,Bottoms,Straight-leg trousers,Workwear
Apple,Indian Ethnic Wear,A-line kurta,Workwear
Rectangle,Tops,Smocked blouse,Party
Rectangle,Indian Ethnic Wear,Peplum-style kurta set,Party
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Casual
Hourglass,Tops,Sweetheart neckline top,Formal
Inverted Triangle,Dresses,Tunic dress,Party
Inverted Triangle,Tops,Ruched sleeve top,Casual
Inverted Triangle,Tops,Ruched sleeve top,Formal
Hourglass,Dresses,Wrap dress,Workwear
Apple,Dresses,Belted dress,Formal
Rectangle,Indian Ethnic Wear,Saree with belts,Casual
Inverted Triangle,Bottoms,A-line skirt,Streetwear
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Casual
Pear,Tops,Square-neck top,Party
Rectangle,Bottoms,Skinny jeans,Streetwear
Apple,Bottoms,Flared trousers,Formal
Rectangle,Outerwear,Double-breasted coat,Streetwear
Apple,Indian Ethnic Wear,Floor-length Anarkali,Streetwear
Apple,Outerwear,Open-front cardigan,Streetwear
Pear,Tops,Boat neck top,Streetwear
Hourglass,Tops,Bodysuit,Workwear
Pear,Outerwear,Peplum coat,Formal
Pear,Indian Ethnic Wear,Saree with heavy pallu,Party
Rectangle,Tops,Peplum top,Streetwear
Apple,Bottoms,Flared trousers,Streetwear
Hourglass,Outerwear,Fitted blazer,Formal
Rectangle,Bottoms,Paperbag trousers,Workwear
Hourglass,Tops,Fitted blouse,Streetwear
Inverted Triangle,Dresses,Slit dress,Workwear
Rectangle,Bottoms,Culottes,Workwear
Pear,Dresses,Fit-and-flare dress,Workwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Streetwear
Rectangle,Tops,Cold-shoulder top,Casual
Hourglass,Tops,Corset-style top,Formal
Apple,Dresses,Wrap dress,Casual
Hourglass,Dresses,Mermaid gown,Formal
Inverted Triangle,Dresses,Slit dress,Party
Rectangle,Indian Ethnic Wear,Layered Anarkali,Party
Pear,Indian Ethnic Wear,Straight-cut kurta,Formal
Pear,Tops,Square-neck top,Casual
Pear,Outerwear,Denim jacket,Casual
Inverted Triangle,Bottoms,Cargo pants,Party
Inverted Triangle,Bottoms,Bias-cut midi skirt,Formal
Rectangle,Dresses,Wrap dress,Party
Pear,Dresses,Ruched dress,Formal
Apple,Tops,Peplum blouse,Streetwear
Rectangle,Dresses,Peplum dress,Casual
Inverted Triangle,Bottoms,Cargo pants,Streetwear
Inverted Triangle,Tops,Wrap top,Formal
Inverted Triangle,Tops,Wrap top,Formal
Apple,Dresses,Wrap dress,Workwear
Pear,Outerwear,Cropped jacket,Casual
Apple,Outerwear,Waterfall cardigan,Streetwear
Pear,Tops,Square-neck top,Workwear
Inverted Triangle,Tops,Wrap top,Workwear
Apple,Tops,Flowy tunic,Formal
Apple,Bottoms,High-waisted pants,Casual
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Workwear
Hourglass,Dresses,Slit maxi dress,Workwear
Inverted Triangle,Bottoms,Ruffled hem skirt,Streetwear
Inverted Triangle,Dresses,Slit dress,Workwear
Hourglass,Bottoms,Tulip skirt,Casual
Hourglass,Bottoms,High-waisted jeans,Casual
Hourglass,Dresses,Off-shoulder dress,Formal
Hourglass,Tops,Sweetheart neckline top,Casual
Rectangle,Outerwear,Bomber jacket,Streetwear
Rectangle,Indian Ethnic Wear,Sharara suit,Casual
Apple,Outerwear,Draped coat,Party
Pear,Dresses,Ruched dress,Formal
Rectangle,Indian Ethnic Wear,Angrakha suit,Streetwear
Hourglass,Dresses,Mermaid gown,Streetwear
Apple,Bottoms,High-waisted pants,Party
Hourglass,Bottoms,Fishtail skirt,Streetwear
Apple,Outerwear,Draped coat,Casual
Apple,Tops,Peplum blouse,Streetwear
Apple,Tops,Empire waist top,Workwear
Inverted Triangle,Dresses,Tea-length dress,Streetwear
Apple,Indian Ethnic Wear,Anarkali suit,Casual
Apple,Dresses,Shift dress,Workwear
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Party
Hourglass,Tops,Bodysuit,Casual
Pear,Indian Ethnic Wear,Straight-cut kurta,Workwear
Apple,Dresses,Shift dress,Streetwear
Inverted Triangle,Indian Ethnic Wear,A-line kurta,Streetwear
Rectangle,Indian Ethnic Wear,Layered Anarkali,Formal
Pear,Outerwear,Embellished blazer,Workwear
Rectangle,Dresses,Peplum dress,Formal
Pear,Tops,Tunic with embellishments,Streetwear
Inverted Triangle,Dresses,A-line dress,Party
Rectangle,Outerwear,Cropped cardigan,Streetwear
Hourglass,Dresses,Mermaid gown,Formal
Rectangle,Outerwear,Denim trench coat,Formal
Apple,Outerwear,Belted jacket,Workwear
Hourglass,Outerwear,Faux fur coat,Formal
Inverted Triangle,Outerwear,Trench coat,Streetwear
Rectangle,Tops,Asymmetrical top,Party
Pear,Outerwear,Denim jacket,Workwear
Apple,Tops,Cowl neck top,Workwear
Inverted Triangle,Outerwear,Straight-cut coat,Workwear
Apple,Dresses,Shift dress,Streetwear
Apple,Tops,Empire waist top,Streetwear
Inverted Triangle,Tops,Kimono sleeve top,Casual
Pear,Dresses,Empire waist dress,Streetwear
Pear,Dresses,Empire waist dress,Party
Rectangle,Bottoms,Cargo pants,Casual
Pear,Bottoms,Wide-leg pants,Streetwear
Apple,Tops,Peplum blouse,Workwear
Apple,Dresses,A-line dress,Party
Apple,Outerwear,Draped coat,Workwear
Hourglass,Dresses,Fit-and-flare dress,Workwear
Pear,Outerwear,Trench coat,Streetwear
Inverted Triangle,Indian Ethnic Wear,A-line kurta,Streetwear
Inverted Triangle,Outerwear,Straight-cut coat,Streetwear
Inverted Triangle,Dresses,Tunic dress,Formal
Inverted Triangle,Bottoms,Ruffled hem skirt,Streetwear
Apple,Outerwear,Waterfall cardigan,Streetwear
Rectangle,Indian Ethnic Wear,Saree with belts,Party
Inverted Triangle,Bottoms,A-line skirt,Workwear
Apple,Bottoms,High-waisted pants,Formal
Rectangle,Tops,Asymmetrical top,Streetwear
Apple,Indian Ethnic Wear,A-line kurta,Formal
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Casual
Apple,Outerwear,Open-front cardigan,Streetwear
Inverted Triangle,Tops,Ruched sleeve top,Formal
Hourglass,Dresses,Fit-and-flare dress,Party
Inverted Triangle,Indian Ethnic Wear,Dhoti-style saree,Casual
Apple,Tops,Peplum blouse,Formal
Rectangle,Bottoms,Bermuda shorts,Workwear
Pear,Outerwear,Cape-style coat,Formal
Rectangle,Tops,Cold-shoulder top,Formal
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Casual
Apple,Dresses,Maxi dress,Casual
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Formal
Inverted Triangle,Dresses,Tunic dress,Streetwear
Inverted Triangle,Tops,Dolman sleeve blouse,Party
Apple,Bottoms,Bootcut jeans,Workwear
Apple,Outerwear,Longline blazer,Casual
Inverted Triangle,Bottoms,A-line skirt,Workwear
Inverted Triangle,Tops,Dolman sleeve blouse,Casual
Pear,Indian Ethnic Wear,Straight-cut kurta,Casual
Pear,Dresses,A-line dress,Formal
Hourglass,Dresses,Fit-and-flare dress,Streetwear
Apple,Tops,Empire waist top,Party
Hourglass,Tops,Wrap top,Workwear
Rectangle,Dresses,Layered maxi dress,Formal
Apple,Tops,Peplum blouse,Formal
Inverted Triangle,Dresses,Slit dress,Party
Pear,Bottoms,Bootcut jeans,Streetwear
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Workwear
Rectangle,Tops,Peplum top,Formal
Inverted Triangle,Tops,Dolman sleeve blouse,Formal
Rectangle,Outerwear,Cropped cardigan,Workwear
Hourglass,Dresses,Mermaid gown,Party
Rectangle,Outerwear,Bomber jacket,Streetwear
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Casual
